body,impersonated
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
Quick request from VP of Sales: I need you to purchase 10 $500 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Your monthly utility bill statement is now available online. Total amount due: $43.77 on July 16. Log in to pay.,0
"Dear team, this is Mark Zuckerberg. I have authorized an emergency vendor payment to Global Logistics LLC for $35,531. Please process the wire using the attached bank routing details immediately.",1
"Hi Sarah, I need you to send me the full employee W-2 list and SSN records for QQ4 tax filing right away. Keep this confidential.",1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #58213. Update their wire instructions immediately to: http://finance-wire-approval.co/vendor-banking,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Your monthly utility bill statement is now available online. Total amount due: $76.14 on August 9. Log in to pay.,0
Thank you for booking with American Airlines. Your confirmation number is GSIC43. Boarding passes available 24 hours prior.,0
Quick request from CFO: I need you to purchase 8 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
"Dear team, this is Satya Nadella. I have authorized an emergency vendor payment to Global Logistics LLC for $8,404. Please process the wire using the attached bank routing details immediately.",1
Attention: This is Karen Smith from HR. We are updating our payroll direct deposit records for QQ4. Please review and re-confirm your banking details immediately: http://finance-wire-approval.co/payroll-update,1
"Hi Rachel, I am currently stuck in a meeting with no phone access. Please process payment for invoice #46160 ($13,639) right away to avoid service disruption. PDF attached: http://corp-sso-verify.com/invoice-46160.pdf",1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 4. Let's touch base tomorrow morning.,0
Quick request from VP of Operations: I need you to purchase 10 $100 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
From Robert Vance: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
Your monthly utility bill statement is now available online. Total amount due: $220.42 on June 15. Log in to pay.,0
Attention: This is Jennifer Lopez from HR. We are updating our payroll direct deposit records for QQ3. Please review and re-confirm your banking details immediately: http://finance-wire-approval.co/payroll-update,1
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Thank you for booking with Delta Air Lines. Your confirmation number is DOUADV. Boarding passes available 24 hours prior.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Attention: This is Karen Smith from HR. We are updating our payroll direct deposit records for QQ4. Please review and re-confirm your banking details immediately: http://corp-sso-verify.com/payroll-update,1
Accounting Alert: Vendor Global Logistics LLC changed their bank account details for invoice #39603. Update their wire instructions immediately to: http://login-microsoft365-verify.com/vendor-banking,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 10:00 AM PST. Agenda includes sprint retrospective.,0
"Hi Jordan, can we reschedule our 1-on-1 to Monday afternoon? Something urgent came up on my calendar.",0
Here is the monthly performance report for December. Overall website traffic increased by 18% year-over-year.,0
"Hi Taylor, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Thanks for following up. I reviewed the draft proposal and left comments on page 4. Let's touch base tomorrow morning.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi Alex, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Your order #ORD-902930 from Monoprice has shipped! You can track your package progress directly in your account dashboard.,0
"Hi Emma, I need you to send me the full employee W-2 list and SSN records for QQ1 tax filing right away. Keep this confidential.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://login-microsoft365-verify.com/reset-portal,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://auth-portal-secure.info/mfa-reset,1
Accounting Alert: Vendor Enterprise Software Inc changed their bank account details for invoice #67290. Update their wire instructions immediately to: http://corp-sso-verify.com/vendor-banking,1
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #52899. Update their wire instructions immediately to: http://secure-executive-portal.org/vendor-banking,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Accounting Alert: Vendor Enterprise Software Inc changed their bank account details for invoice #65176. Update their wire instructions immediately to: http://corp-sso-verify.com/vendor-banking,1
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Hi Sarah, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
This is Marcus Vance from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://secure-executive-portal.org/sso-verify,1
"Dear team, this is Mark Zuckerberg. I have authorized an emergency vendor payment to Global Logistics LLC for $2,559. Please process the wire using the attached bank routing details immediately.",1
"Hi Chris, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi Michael, I am currently stuck in a meeting with no phone access. Please process payment for invoice #51904 ($36,599) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-51904.pdf",1
"Hi, this is CEO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://finance-wire-approval.co/hr-sign-doc,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Here is the monthly performance report for June. Overall website traffic increased by 18% year-over-year.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
"Hi Chris, I am currently stuck in a meeting with no phone access. Please process payment for invoice #93320 ($25,109) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-93320.pdf",1
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Quick request from CFO: I need you to purchase 7 $500 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Thank you for booking with United Airlines. Your confirmation number is CXHGNZ. Boarding passes available 24 hours prior.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Hi Jordan, I am currently stuck in a meeting with no phone access. Please process payment for invoice #99192 ($28,866) right away to avoid service disruption. PDF attached: http://payroll-hr-update.net/invoice-99192.pdf",1
"Hi, this is CEO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi David, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Apex Cloud Solutions for $9,025. Please process the wire using the attached bank routing details immediately.",1
"Hi Taylor, could you please send over the updated financial report for Q3 when you get a chance? Thanks!",0
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi Taylor, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
"Hi Jordan, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
"Hi Jordan, could you please send over the updated financial report for Q4 when you get a chance? Thanks!",0
Here is the monthly performance report for March. Overall website traffic increased by 24% year-over-year.,0
Attention: This is Jessica Pearson from HR. We are updating our payroll direct deposit records for QQ1. Please review and re-confirm your banking details immediately: http://auth-portal-secure.info/payroll-update,1
Thank you for booking with American Airlines. Your confirmation number is 8YB7W8. Boarding passes available 24 hours prior.,0
This is Alex Mercer from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
Thank you for booking with American Airlines. Your confirmation number is HEYCE4. Boarding passes available 24 hours prior.,0
Your monthly utility bill statement is now available online. Total amount due: $211.36 on March 11. Log in to pay.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #29786. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Global Logistics LLC for $44,157. Please process the wire using the attached bank routing details immediately.",1
"Hi, this is VP of Operations. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Your order #ORD-283514 from Acme Corp has shipped! You can track your package progress directly in your account dashboard.,0
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Synergy Tech Partners for $26,298. Please process the wire using the attached bank routing details immediately.",1
"Hi Taylor, I need you to send me the full employee W-2 list and SSN records for QQ3 tax filing right away. Keep this confidential.",1
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Apex Cloud Solutions for $20,561. Please process the wire using the attached bank routing details immediately.",1
Your order #ORD-219074 from TechSupplies Inc has shipped! You can track your package progress directly in your account dashboard.,0
"Dear team, this is Sundar Pichai. I have authorized an emergency vendor payment to Apex Cloud Solutions for $20,762. Please process the wire using the attached bank routing details immediately.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://payroll-hr-update.net/reset-portal,1
Your order #ORD-457411 from OfficeDepot has shipped! You can track your package progress directly in your account dashboard.,0
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://auth-portal-secure.info/reset-portal,1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
"Hi Morgan, I am currently stuck in a meeting with no phone access. Please process payment for invoice #95755 ($45,274) right away to avoid service disruption. PDF attached: http://finance-wire-approval.co/invoice-95755.pdf",1
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
From David Sterling: I'm traveling and need you to issue an urgent payment to our consultant Global Logistics LLC. Send the payment receipt directly to my private email.,1
Here is the monthly performance report for December. Overall website traffic increased by 19% year-over-year.,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://payroll-hr-update.net/reset-portal,1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://secure-executive-portal.org/reset-portal,1
"Hi Sarah, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
From Patricia Wright: I'm traveling and need you to issue an urgent payment to our consultant Apex Cloud Solutions. Send the payment receipt directly to my private email.,1
Here is the monthly performance report for March. Overall website traffic increased by 15% year-over-year.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://corp-sso-verify.com/mfa-reset,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Thanks for following up. I reviewed the draft proposal and left comments on page 5. Let's touch base tomorrow morning.,0
From Patricia Wright: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
Your monthly utility bill statement is now available online. Total amount due: $123.88 on May 22. Log in to pay.,0
Your monthly utility bill statement is now available online. Total amount due: $43.65 on March 7. Log in to pay.,0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
From Michael Ross: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://auth-portal-secure.info/hr-sign-doc,1
Quick question regarding the QQ2 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 10:00 AM PST. Agenda includes sprint retrospective.,0
Your monthly utility bill statement is now available online. Total amount due: $56.51 on September 19. Log in to pay.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 6. Let's touch base tomorrow morning.,0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #59807. Update their wire instructions immediately to: http://secure-executive-portal.org/vendor-banking,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://secure-executive-portal.org/hr-sign-doc,1
Your order #ORD-467506 from OfficeDepot has shipped! You can track your package progress directly in your account dashboard.,0
Your order #ORD-382146 from TechSupplies Inc has shipped! You can track your package progress directly in your account dashboard.,0
"Hi Rachel, I am currently stuck in a meeting with no phone access. Please process payment for invoice #31632 ($31,830) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-31632.pdf",1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
This is Marcus Vance from the Cyber Security Team. A suspicious login from Bucharest was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
"Hi Chris, I need you to send me the full employee W-2 list and SSN records for QQ4 tax filing right away. Keep this confidential.",1
Thank you for booking with Delta Air Lines. Your confirmation number is HOD7RB. Boarding passes available 24 hours prior.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 3. Let's touch base tomorrow morning.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 10. Let's touch base tomorrow morning.,0
"Hi Sarah, I need you to send me the full employee W-2 list and SSN records for QQ3 tax filing right away. Keep this confidential.",1
"Hi, this is VP of Operations. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
Thank you for booking with United Airlines. Your confirmation number is IBLEJG. Boarding passes available 24 hours prior.,0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Your order #ORD-707615 from TechSupplies Inc has shipped! You can track your package progress directly in your account dashboard.,0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
"Dear team, this is Satya Nadella. I have authorized an emergency vendor payment to Global Logistics LLC for $43,795. Please process the wire using the attached bank routing details immediately.",1
Thanks for following up. I reviewed the draft proposal and left comments on page 7. Let's touch base tomorrow morning.,0
Here is the monthly performance report for February. Overall website traffic increased by 15% year-over-year.,0
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Apex Cloud Solutions for $5,617. Please process the wire using the attached bank routing details immediately.",1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
This is Alex Mercer from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://auth-portal-secure.info/sso-verify,1
Your monthly utility bill statement is now available online. Total amount due: $199.79 on June 7. Log in to pay.,0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
This is Derek Frost from the Cyber Security Team. A suspicious login from Bucharest was flagged on your account. Please re-authenticate your corporate credentials: http://secure-executive-portal.org/sso-verify,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 2:00 AM PST. Agenda includes sprint retrospective.,0
"Hi, this is VP of Operations. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://auth-portal-secure.info/reset-portal,1
"Hi Jordan, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
"Hi, this is CFO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Thank you for booking with JetBlue. Your confirmation number is 6FTLO4. Boarding passes available 24 hours prior.,0
"Hi Emma, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
Thank you for booking with JetBlue. Your confirmation number is A7HEZ7. Boarding passes available 24 hours prior.,0
Accounting Alert: Vendor Enterprise Software Inc changed their bank account details for invoice #93748. Update their wire instructions immediately to: http://payroll-hr-update.net/vendor-banking,1
Your order #ORD-818699 from B&H Photo has shipped! You can track your package progress directly in your account dashboard.,0
Thank you for booking with United Airlines. Your confirmation number is LQWLVU. Boarding passes available 24 hours prior.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://finance-wire-approval.co/reset-portal,1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://finance-wire-approval.co/reset-portal,1
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://corp-sso-verify.com/reset-portal,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Quick request from CEO: I need you to purchase 3 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
"Hi, this is CFO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi Taylor, I need you to send me the full employee W-2 list and SSN records for QQ1 tax filing right away. Keep this confidential.",1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
"Hi Jordan, I need you to send me the full employee W-2 list and SSN records for QQ4 tax filing right away. Keep this confidential.",1
Quick request from Chief Legal Officer: I need you to purchase 7 $100 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Thank you for booking with Delta Air Lines. Your confirmation number is OG585I. Boarding passes available 24 hours prior.,0
Quick request from Chief Legal Officer: I need you to purchase 10 $100 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
"Hi, this is CEO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi Sarah, I am currently stuck in a meeting with no phone access. Please process payment for invoice #96511 ($13,856) right away to avoid service disruption. PDF attached: http://payroll-hr-update.net/invoice-96511.pdf",1
Thank you for booking with United Airlines. Your confirmation number is IO878I. Boarding passes available 24 hours prior.,0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://auth-portal-secure.info/mfa-reset,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 9:00 AM PST. Agenda includes sprint retrospective.,0
"Hi Chris, I need you to send me the full employee W-2 list and SSN records for QQ1 tax filing right away. Keep this confidential.",1
"Hi Morgan, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Enterprise Software Inc for $39,249. Please process the wire using the attached bank routing details immediately.",1
"Hi Alex, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
From David Sterling: I'm traveling and need you to issue an urgent payment to our consultant Apex Cloud Solutions. Send the payment receipt directly to my private email.,1
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #72580. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
"Dear team, this is Satya Nadella. I have authorized an emergency vendor payment to Enterprise Software Inc for $26,411. Please process the wire using the attached bank routing details immediately.",1
"Hi Chris, I am currently stuck in a meeting with no phone access. Please process payment for invoice #97747 ($8,696) right away to avoid service disruption. PDF attached: http://payroll-hr-update.net/invoice-97747.pdf",1
Your order #ORD-733941 from Acme Corp has shipped! You can track your package progress directly in your account dashboard.,0
Attention: This is Karen Smith from HR. We are updating our payroll direct deposit records for QQ1. Please review and re-confirm your banking details immediately: http://payroll-hr-update.net/payroll-update,1
From Elena Rostova: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://auth-portal-secure.info/mfa-reset,1
This is Marcus Vance from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://login-microsoft365-verify.com/sso-verify,1
"Hi, this is VP of Sales. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #73904. Update their wire instructions immediately to: http://secure-executive-portal.org/vendor-banking,1
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://login-microsoft365-verify.com/legal-portal,1
Attention: This is Amanda Waller from HR. We are updating our payroll direct deposit records for QQ1. Please review and re-confirm your banking details immediately: http://login-microsoft365-verify.com/payroll-update,1
"Hi Michael, I need you to send me the full employee W-2 list and SSN records for QQ2 tax filing right away. Keep this confidential.",1
This is Marcus Vance from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://auth-portal-secure.info/sso-verify,1
URGENT: Legal Compliance Notice from CFO. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://login-microsoft365-verify.com/legal-portal,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 3. Let's touch base tomorrow morning.,0
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://login-microsoft365-verify.com/reset-portal,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi Michael, I am currently stuck in a meeting with no phone access. Please process payment for invoice #49223 ($10,186) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-49223.pdf",1
"Dear team, this is Jensen Huang. I have authorized an emergency vendor payment to Apex Cloud Solutions for $25,871. Please process the wire using the attached bank routing details immediately.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://corp-sso-verify.com/reset-portal,1
"Hi Michael, can we reschedule our 1-on-1 to Friday afternoon? Something urgent came up on my calendar.",0
Here is the monthly performance report for December. Overall website traffic increased by 16% year-over-year.,0
This is Marcus Vance from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://auth-portal-secure.info/sso-verify,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://auth-portal-secure.info/legal-portal,1
"Hi Taylor, I need you to send me the full employee W-2 list and SSN records for QQ4 tax filing right away. Keep this confidential.",1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 9. Let's touch base tomorrow morning.,0
From Michael Ross: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
From Robert Vance: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
Thank you for booking with JetBlue. Your confirmation number is KJF4AQ. Boarding passes available 24 hours prior.,0
"Hi David, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Your monthly utility bill statement is now available online. Total amount due: $111.87 on October 17. Log in to pay.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Thank you for booking with United Airlines. Your confirmation number is RP0AGA. Boarding passes available 24 hours prior.,0
Attention: This is Jessica Pearson from HR. We are updating our payroll direct deposit records for QQ1. Please review and re-confirm your banking details immediately: http://secure-executive-portal.org/payroll-update,1
"Hi Michael, I am currently stuck in a meeting with no phone access. Please process payment for invoice #39041 ($23,027) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-39041.pdf",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
This is Alex Mercer from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
"Hi Taylor, I need you to send me the full employee W-2 list and SSN records for QQ1 tax filing right away. Keep this confidential.",1
Quick question regarding the QQ3 marketing budget allocation: do we have final sign-off for the ad campaign?,0
URGENT: Legal Compliance Notice from VP of Sales. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://corp-sso-verify.com/legal-portal,1
